C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=362294200953208832.0000, content_loss=      0.0000, style loss=362294208000000000.0000, tv loss=3572966.0000
L-BFGS | iteration: 013, total loss=107839937243512832.0000, content_loss=3401197656.2500, style loss=107839939200000000.0000, tv loss=26179040.0000
L-BFGS | iteration: 014, total loss=92635993533841408.0000, content_loss=3852948828.1250, style loss=92635996800000000.0000, tv loss=29327904.0000
L-BFGS | iteration: 015, total loss=81508119816962048.0000, content_loss=4392785937.5000, style loss=81508108800000000.0000, tv loss=32539324.0000
L-BFGS | iteration: 016, total loss=72015340149669888.0000, content_loss=4605247265.6250, style loss=72015336000000000.0000, tv loss=33722324.0000
L-BFGS | iteration: 017, total loss=64141363721011200.0000, content_loss=4666340234.3750, style loss=64141358400000000.0000, tv loss=34035380.0000
L-BFGS | iteration: 018, total loss=57406515698466816.0000, content_loss=4869329296.8750, style loss=57406512000000000.0000, tv loss=35125368.0000
L-BFGS | iteration: 019, total loss=51592963930718208.0000, content_loss=5062437109.3750, style loss=51592958400000000.0000, tv loss=36323288.0000
L-BFGS | iteration: 020, total loss=46462616905711616.0000, content_loss=5133064843.7500, style loss=46462612800000000.0000, tv loss=37037016.0000
L-BFGS | iteration: 021, total loss=41970596510171136.0000, content_loss=5167798046.8750, style loss=41970590400000000.0000, tv loss=37669256.0000
L-BFGS | iteration: 022, total loss=37995909220401152.0000, content_loss=5215708203.1250, style loss=37995904800000000.0000, tv loss=38299780.0000
L-BFGS | iteration: 023, total loss=34464322969141248.0000, content_loss=5289005468.7500, style loss=34464319200000000.0000, tv loss=38987832.0000
L-BFGS | iteration: 024, total loss=31209665471709184.0000, content_loss=5370571484.3750, style loss=31209660000000000.0000, tv loss=39524584.0000
L-BFGS | iteration: 025, total loss=28098880788758528.0000, content_loss=5499189453.1250, style loss=28098873600000000.0000, tv loss=40175688.0000
L-BFGS | iteration: 026, total loss=25314064796221440.0000, content_loss=5565676562.5000, style loss=25314057600000000.0000, tv loss=40465424.0000
L-BFGS | iteration: 027, total loss=22889538577760256.0000, content_loss=5688039453.1250, style loss=22889532000000000.0000, tv loss=41132752.0000
L-BFGS | iteration: 028, total loss=20888708735565824.0000, content_loss=5621729687.5000, style loss=20888702400000000.0000, tv loss=41137360.0000
L-BFGS | iteration: 029, total loss=19206874704379904.0000, content_loss=5817499218.7500, style loss=19206867600000000.0000, tv loss=42387416.0000
L-BFGS | iteration: 030, total loss=17574888063631360.0000, content_loss=5685577343.7500, style loss=17574883200000000.0000, tv loss=42005844.0000
L-BFGS | iteration: 031, total loss=16253102214610944.0000, content_loss=5773767578.1250, style loss=16253096400000000.0000, tv loss=42393816.0000
L-BFGS | iteration: 032, total loss=15223762836258816.0000, content_loss=5828348046.8750, style loss=15223758000000000.0000, tv loss=42908100.0000
L-BFGS | iteration: 033, total loss=14049863448657920.0000, content_loss=5879919140.6250, style loss=14049858000000000.0000, tv loss=43349216.0000
L-BFGS | iteration: 034, total loss=12912987752890368.0000, content_loss=5900665625.0000, style loss=12912982800000000.0000, tv loss=43255016.0000
L-BFGS | iteration: 035, total loss=12361638506135552.0000, content_loss=5901489062.5000, style loss=12361633200000000.0000, tv loss=43256520.0000
L-BFGS | iteration: 036, total loss=11782002604769280.0000, content_loss=5968254687.5000, style loss=11781996000000000.0000, tv loss=43862968.0000
L-BFGS | iteration: 037, total loss=10614068926742528.0000, content_loss=6000636718.7500, style loss=10614062400000000.0000, tv loss=43715256.0000
L-BFGS | iteration: 038, total loss=10359780019273728.0000, content_loss=6000115234.3750, style loss=10359774000000000.0000, tv loss=43665096.0000
L-BFGS | iteration: 039, total loss=9947670391029760.0000, content_loss=6034230859.3750, style loss=9947664000000000.0000, tv loss=43845456.0000
L-BFGS | iteration: 040, total loss=9310509845184512.0000, content_loss=6087785546.8750, style loss=9310503600000000.0000, tv loss=44103544.0000
L-BFGS | iteration: 041, total loss=8618390897819648.0000, content_loss=6140340234.3750, style loss=8618385000000000.0000, tv loss=44253452.0000
L-BFGS | iteration: 042, total loss=8504444341714944.0000, content_loss=6118304296.8750, style loss=8504438400000000.0000, tv loss=44384120.0000
L-BFGS | iteration: 043, total loss=8400093279420416.0000, content_loss=6128266015.6250, style loss=8400087600000000.0000, tv loss=44326696.0000
L-BFGS | iteration: 044, total loss=8092094732173312.0000, content_loss=6110132421.8750, style loss=8092089000000000.0000, tv loss=44386392.0000
L-BFGS | iteration: 045, total loss=7561975508762624.0000, content_loss=6115738671.8750, style loss=7561969800000000.0000, tv loss=44518264.0000
L-BFGS | iteration: 046, total loss=7026533210259456.0000, content_loss=6144290234.3750, style loss=7026527400000000.0000, tv loss=44394460.0000
L-BFGS | iteration: 047, total loss=7114229999992832.0000, content_loss=6194799218.7500, style loss=7114223400000000.0000, tv loss=44547452.0000
L-BFGS | iteration: 048, total loss=6912317144956928.0000, content_loss=6170421484.3750, style loss=6912311400000000.0000, tv loss=44458408.0000
L-BFGS | iteration: 049, total loss=6670318823276544.0000, content_loss=6253635156.2500, style loss=6670312200000000.0000, tv loss=44697588.0000
L-BFGS | iteration: 050, total loss=6345514605871104.0000, content_loss=6289546093.7500, style loss=6345508200000000.0000, tv loss=44653356.0000
L-BFGS | iteration: 051, total loss=6006600884027392.0000, content_loss=6342294921.8750, style loss=6006594600000000.0000, tv loss=45117896.0000
L-BFGS | iteration: 052, total loss=5803410813091840.0000, content_loss=6249299218.7500, style loss=5803404600000000.0000, tv loss=44740616.0000
L-BFGS | iteration: 053, total loss=5679003327266816.0000, content_loss=6182433593.7500, style loss=5678997000000000.0000, tv loss=44100864.0000
L-BFGS | iteration: 054, total loss=5426511863611392.0000, content_loss=6232056250.0000, style loss=5426505600000000.0000, tv loss=44624528.0000
L-BFGS | iteration: 055, total loss=5252683262853120.0000, content_loss=6281110937.5000, style loss=5252676600000000.0000, tv loss=44884104.0000
L-BFGS | iteration: 056, total loss=5055670428631040.0000, content_loss=6366264062.5000, style loss=5055664200000000.0000, tv loss=45238456.0000
L-BFGS | iteration: 057, total loss=4759933476143104.0000, content_loss=6361189062.5000, style loss=4759927200000000.0000, tv loss=45018240.0000
L-BFGS | iteration: 058, total loss=4642285195100160.0000, content_loss=6310814453.1250, style loss=4642278900000000.0000, tv loss=44762864.0000
L-BFGS | iteration: 059, total loss=4317307299954688.0000, content_loss=6312440625.0000, style loss=4317300900000000.0000, tv loss=44509836.0000
L-BFGS | iteration: 060, total loss=4174313611591680.0000, content_loss=6347517187.5000, style loss=4174307100000000.0000, tv loss=44823912.0000
L-BFGS | iteration: 061, total loss=4067345035165696.0000, content_loss=6444848437.5000, style loss=4067338500000000.0000, tv loss=45403336.0000
L-BFGS | iteration: 062, total loss=3958681288835072.0000, content_loss=6424588671.8750, style loss=3958674900000000.0000, tv loss=45210740.0000
L-BFGS | iteration: 063, total loss=3840308232060928.0000, content_loss=6399469921.8750, style loss=3840301800000000.0000, tv loss=44609864.0000
L-BFGS | iteration: 064, total loss=3705716305035264.0000, content_loss=6402471484.3750, style loss=3705709800000000.0000, tv loss=44815040.0000
L-BFGS | iteration: 065, total loss=3556618394402816.0000, content_loss=6483469921.8750, style loss=3556611900000000.0000, tv loss=45285912.0000
L-BFGS | iteration: 066, total loss=3423296972390400.0000, content_loss=6461658203.1250, style loss=3423290400000000.0000, tv loss=45276152.0000
L-BFGS | iteration: 067, total loss=3348164841046016.0000, content_loss=6400877734.3750, style loss=3348158400000000.0000, tv loss=45080520.0000
L-BFGS | iteration: 068, total loss=3233749059764224.0000, content_loss=6449458203.1250, style loss=3233742600000000.0000, tv loss=44957160.0000
L-BFGS | iteration: 069, total loss=3152152465768448.0000, content_loss=6477356640.6250, style loss=3152145900000000.0000, tv loss=45007780.0000
L-BFGS | iteration: 070, total loss=3110185266577408.0000, content_loss=6434660937.5000, style loss=3110178900000000.0000, tv loss=45207156.0000
L-BFGS | iteration: 071, total loss=3036207676129280.0000, content_loss=6458529296.8750, style loss=3036201300000000.0000, tv loss=45113336.0000
L-BFGS | iteration: 072, total loss=2899771060649984.0000, content_loss=6471900781.2500, style loss=2899764600000000.0000, tv loss=45277488.0000
L-BFGS | iteration: 073, total loss=2795445231288320.0000, content_loss=6496862500.0000, style loss=2795438700000000.0000, tv loss=45133464.0000
L-BFGS | iteration: 074, total loss=2700012400148480.0000, content_loss=6540216015.6250, style loss=2700006000000000.0000, tv loss=44977184.0000
L-BFGS | iteration: 075, total loss=4491740954230784.0000, content_loss=6437125781.2500, style loss=4491734400000000.0000, tv loss=45357056.0000
L-BFGS | iteration: 076, total loss=2636430241169408.0000, content_loss=6530619921.8750, style loss=2636423700000000.0000, tv loss=45025864.0000
L-BFGS | iteration: 077, total loss=2586198988029952.0000, content_loss=6530922265.6250, style loss=2586192600000000.0000, tv loss=45240672.0000
L-BFGS | iteration: 078, total loss=2514023136362496.0000, content_loss=6541564062.5000, style loss=2514016650000000.0000, tv loss=45486528.0000
L-BFGS | iteration: 079, total loss=2437525742288896.0000, content_loss=6545484765.6250, style loss=2437519200000000.0000, tv loss=45544840.0000
L-BFGS | iteration: 080, total loss=2320114221318144.0000, content_loss=6558913281.2500, style loss=2320107900000000.0000, tv loss=45469284.0000
L-BFGS | iteration: 081, total loss=2208045371228160.0000, content_loss=6542783984.3750, style loss=2208038850000000.0000, tv loss=45494132.0000
L-BFGS | iteration: 082, total loss=2303112861712384.0000, content_loss=6525796875.0000, style loss=2303106300000000.0000, tv loss=45647684.0000
L-BFGS | iteration: 083, total loss=2178616926404608.0000, content_loss=6539862890.6250, style loss=2178610350000000.0000, tv loss=45543916.0000
L-BFGS | iteration: 084, total loss=2125376243367936.0000, content_loss=6555847656.2500, style loss=2125369650000000.0000, tv loss=45516576.0000
L-BFGS | iteration: 085, total loss=2051326041128960.0000, content_loss=6541269140.6250, style loss=2051319450000000.0000, tv loss=45486968.0000
L-BFGS | iteration: 086, total loss=1986566121586688.0000, content_loss=6581132812.5000, style loss=1986559500000000.0000, tv loss=45567068.0000
L-BFGS | iteration: 087, total loss=2197409690025984.0000, content_loss=6558590625.0000, style loss=2197403100000000.0000, tv loss=45786152.0000
L-BFGS | iteration: 088, total loss=1955771877163008.0000, content_loss=6580080468.7500, style loss=1955765250000000.0000, tv loss=45627368.0000
L-BFGS | iteration: 089, total loss=1907178482958336.0000, content_loss=6582514843.7500, style loss=1907171850000000.0000, tv loss=45578256.0000
L-BFGS | iteration: 090, total loss=1848228983078912.0000, content_loss=6615006250.0000, style loss=1848222450000000.0000, tv loss=45582416.0000
L-BFGS | iteration: 091, total loss=1849215214944256.0000, content_loss=6611808593.7500, style loss=1849208700000000.0000, tv loss=45716568.0000
L-BFGS | iteration: 092, total loss=1820803066757120.0000, content_loss=6616298437.5000, style loss=1820796450000000.0000, tv loss=45650028.0000
L-BFGS | iteration: 093, total loss=1763214668857344.0000, content_loss=6617339843.7500, style loss=1763208150000000.0000, tv loss=45731376.0000
L-BFGS | iteration: 094, total loss=1688392446246912.0000, content_loss=6619569531.2500, style loss=1688385900000000.0000, tv loss=45807892.0000
L-BFGS | iteration: 095, total loss=1691530054074368.0000, content_loss=6592461718.7500, style loss=1691523450000000.0000, tv loss=45913960.0000
L-BFGS | iteration: 096, total loss=1669402651000832.0000, content_loss=6606696875.0000, style loss=1669396050000000.0000, tv loss=45859712.0000
L-BFGS | iteration: 097, total loss=1626520623775744.0000, content_loss=6601692968.7500, style loss=1626514050000000.0000, tv loss=45885824.0000
L-BFGS | iteration: 098, total loss=1576547202891776.0000, content_loss=6629350781.2500, style loss=1576540650000000.0000, tv loss=45979592.0000
L-BFGS | iteration: 099, total loss=1541910573350912.0000, content_loss=6629189843.7500, style loss=1541904000000000.0000, tv loss=46046044.0000
L-BFGS | iteration: 100, total loss=1494928597188608.0000, content_loss=6647197656.2500, style loss=1494921900000000.0000, tv loss=45998832.0000
L-BFGS | iteration: 101, total loss=1470521371787264.0000, content_loss=6676882031.2500, style loss=1470514650000000.0000, tv loss=46103388.0000
L-BFGS | iteration: 102, total loss=1444172418514944.0000, content_loss=6717363281.2500, style loss=1444165650000000.0000, tv loss=46150968.0000
L-BFGS | iteration: 103, total loss=1410802133237760.0000, content_loss=6692876562.5000, style loss=1410795450000000.0000, tv loss=46157672.0000
L-BFGS | iteration: 104, total loss=1387083713216512.0000, content_loss=6653030468.7500, style loss=1387077000000000.0000, tv loss=46141752.0000
L-BFGS | iteration: 105, total loss=1368320074842112.0000, content_loss=6642165625.0000, style loss=1368313500000000.0000, tv loss=46118508.0000
L-BFGS | iteration: 106, total loss=1337339536211968.0000, content_loss=6634159375.0000, style loss=1337332950000000.0000, tv loss=46204136.0000
L-BFGS | iteration: 107, total loss=1304507329806336.0000, content_loss=6660543750.0000, style loss=1304500650000000.0000, tv loss=46229112.0000
L-BFGS | iteration: 108, total loss=1276255034933248.0000, content_loss=6671689843.7500, style loss=1276248300000000.0000, tv loss=46280424.0000
L-BFGS | iteration: 109, total loss=1228328165965824.0000, content_loss=6696602343.7500, style loss=1228321425000000.0000, tv loss=46367568.0000
L-BFGS | iteration: 110, total loss=1228484529618944.0000, content_loss=6690357812.5000, style loss=1228477800000000.0000, tv loss=46440280.0000
L-BFGS | iteration: 111, total loss=1211096086085632.0000, content_loss=6694984375.0000, style loss=1211089350000000.0000, tv loss=46403620.0000
L-BFGS | iteration: 112, total loss=1181394910838784.0000, content_loss=6720238281.2500, style loss=1181388150000000.0000, tv loss=46385968.0000
L-BFGS | iteration: 113, total loss=1156481147731968.0000, content_loss=6700014843.7500, style loss=1156474425000000.0000, tv loss=46584756.0000
L-BFGS | iteration: 114, total loss=1138139758329856.0000, content_loss=6699820312.5000, style loss=1138133025000000.0000, tv loss=46535432.0000
L-BFGS | iteration: 115, total loss=1120059757953024.0000, content_loss=6695475781.2500, style loss=1120053000000000.0000, tv loss=46536036.0000
L-BFGS | iteration: 116, total loss=1100748981010432.0000, content_loss=6712319531.2500, style loss=1100742225000000.0000, tv loss=46557832.0000
L-BFGS | iteration: 117, total loss=1081527928619008.0000, content_loss=6713987500.0000, style loss=1081521150000000.0000, tv loss=46624804.0000
L-BFGS | iteration: 118, total loss=1050724288954368.0000, content_loss=6710146875.0000, style loss=1050717525000000.0000, tv loss=46668424.0000
L-BFGS | iteration: 119, total loss=1052823185784832.0000, content_loss=6704711718.7500, style loss=1052816400000000.0000, tv loss=46795872.0000
L-BFGS | iteration: 120, total loss=1040199538704384.0000, content_loss=6709257031.2500, style loss=1040192775000000.0000, tv loss=46732216.0000
L-BFGS | iteration: 121, total loss=1019284121714688.0000, content_loss=6725445312.5000, style loss=1019277375000000.0000, tv loss=46764440.0000
L-BFGS | iteration: 122, total loss=999696990470144.0000, content_loss=6714445312.5000, style loss=999690225000000.0000, tv loss=46784512.0000
L-BFGS | iteration: 123, total loss=981739128225792.0000, content_loss=6735002343.7500, style loss=981732375000000.0000, tv loss=46803836.0000
L-BFGS | iteration: 124, total loss=985885315170304.0000, content_loss=6731371093.7500, style loss=985878525000000.0000, tv loss=46926268.0000
L-BFGS | iteration: 125, total loss=970987147362304.0000, content_loss=6735460156.2500, style loss=970980375000000.0000, tv loss=46863096.0000
L-BFGS | iteration: 126, total loss=955248105488384.0000, content_loss=6735188281.2500, style loss=955241325000000.0000, tv loss=46874336.0000
L-BFGS | iteration: 127, total loss=933640930328576.0000, content_loss=6739314843.7500, style loss=933634125000000.0000, tv loss=46924664.0000
L-BFGS | iteration: 128, total loss=918271524077568.0000, content_loss=6739137500.0000, style loss=918264750000000.0000, tv loss=47011384.0000
L-BFGS | iteration: 129, total loss=896912987258880.0000, content_loss=6758508593.7500, style loss=896906175000000.0000, tv loss=47038192.0000
L-BFGS | iteration: 130, total loss=887361449754624.0000, content_loss=6759699218.7500, style loss=887354625000000.0000, tv loss=47101148.0000
L-BFGS | iteration: 131, total loss=867679963447296.0000, content_loss=6769413281.2500, style loss=867673125000000.0000, tv loss=47199264.0000
L-BFGS | iteration: 132, total loss=851629066682368.0000, content_loss=6760135156.2500, style loss=851622225000000.0000, tv loss=47164888.0000
L-BFGS | iteration: 133, total loss=837316088168448.0000, content_loss=6761648437.5000, style loss=837309225000000.0000, tv loss=47149032.0000
L-BFGS | iteration: 134, total loss=827075275522048.0000, content_loss=6750177343.7500, style loss=827068425000000.0000, tv loss=47293148.0000
L-BFGS | iteration: 135, total loss=815996340273152.0000, content_loss=6766315625.0000, style loss=815989500000000.0000, tv loss=47296144.0000
L-BFGS | iteration: 136, total loss=809035540463616.0000, content_loss=6775126562.5000, style loss=809028675000000.0000, tv loss=47325156.0000
L-BFGS | iteration: 137, total loss=798047873269760.0000, content_loss=6782200781.2500, style loss=798041025000000.0000, tv loss=47442512.0000
L-BFGS | iteration: 138, total loss=782643704627200.0000, content_loss=6796789843.7500, style loss=782636850000000.0000, tv loss=47365000.0000
L-BFGS | iteration: 139, total loss=775718271188992.0000, content_loss=6793982812.5000, style loss=775711425000000.0000, tv loss=47389584.0000
L-BFGS | iteration: 140, total loss=770942603100160.0000, content_loss=6785450781.2500, style loss=770935725000000.0000, tv loss=47521852.0000
L-BFGS | iteration: 141, total loss=766033992351744.0000, content_loss=6790739062.5000, style loss=766027125000000.0000, tv loss=47470488.0000
L-BFGS | iteration: 142, total loss=755207252213760.0000, content_loss=6790732812.5000, style loss=755200425000000.0000, tv loss=47508004.0000
L-BFGS | iteration: 143, total loss=742101629272064.0000, content_loss=6800599218.7500, style loss=742094775000000.0000, tv loss=47543064.0000
L-BFGS | iteration: 144, total loss=724161752203264.0000, content_loss=6794956250.0000, style loss=724154925000000.0000, tv loss=47607464.0000
L-BFGS | iteration: 145, total loss=736003312582656.0000, content_loss=6802307812.5000, style loss=735996450000000.0000, tv loss=47725104.0000
L-BFGS | iteration: 146, total loss=719022823833600.0000, content_loss=6799546093.7500, style loss=719016000000000.0000, tv loss=47653032.0000
L-BFGS | iteration: 147, total loss=709763880976384.0000, content_loss=6829109375.0000, style loss=709756950000000.0000, tv loss=47650576.0000
L-BFGS | iteration: 148, total loss=698698635935744.0000, content_loss=6817746875.0000, style loss=698691750000000.0000, tv loss=47721984.0000
L-BFGS | iteration: 149, total loss=689123274784768.0000, content_loss=6809080468.7500, style loss=689116425000000.0000, tv loss=47773528.0000
L-BFGS | iteration: 150, total loss=688617408167936.0000, content_loss=6798496875.0000, style loss=688610550000000.0000, tv loss=47876636.0000
L-BFGS | iteration: 151, total loss=684742072598528.0000, content_loss=6804114843.7500, style loss=684735225000000.0000, tv loss=47829528.0000
L-BFGS | iteration: 152, total loss=676757594177536.0000, content_loss=6809954687.5000, style loss=676750725000000.0000, tv loss=47836004.0000
L-BFGS | iteration: 153, total loss=664896236683264.0000, content_loss=6820896093.7500, style loss=664889325000000.0000, tv loss=47863328.0000
L-BFGS | iteration: 154, total loss=654333301489664.0000, content_loss=6829315625.0000, style loss=654326400000000.0000, tv loss=47939312.0000
L-BFGS | iteration: 155, total loss=643444284325888.0000, content_loss=6854592968.7500, style loss=643437375000000.0000, tv loss=47944200.0000
L-BFGS | iteration: 156, total loss=638845448093696.0000, content_loss=6854308593.7500, style loss=638838525000000.0000, tv loss=48012224.0000
L-BFGS | iteration: 157, total loss=632023160979456.0000, content_loss=6855312500.0000, style loss=632016225000000.0000, tv loss=48042796.0000
L-BFGS | iteration: 158, total loss=622066889916416.0000, content_loss=6853933593.7500, style loss=622059975000000.0000, tv loss=48063768.0000
L-BFGS | iteration: 159, total loss=610435380281344.0000, content_loss=6846342187.5000, style loss=610428487500000.0000, tv loss=48190840.0000
L-BFGS | iteration: 160, total loss=597657382813696.0000, content_loss=6856500000.0000, style loss=597650475000000.0000, tv loss=48171060.0000
L-BFGS | iteration: 161, total loss=608478083153920.0000, content_loss=6840718750.0000, style loss=608471175000000.0000, tv loss=48294868.0000
L-BFGS | iteration: 162, total loss=592459801296896.0000, content_loss=6851767187.5000, style loss=592452900000000.0000, tv loss=48220504.0000
L-BFGS | iteration: 163, total loss=586095532179456.0000, content_loss=6854005468.7500, style loss=586088587500000.0000, tv loss=48272672.0000
L-BFGS | iteration: 164, total loss=578647522017280.0000, content_loss=6858919531.2500, style loss=578640600000000.0000, tv loss=48283684.0000
L-BFGS | iteration: 165, total loss=572022602072064.0000, content_loss=6868943750.0000, style loss=572015662500000.0000, tv loss=48357372.0000
L-BFGS | iteration: 166, total loss=562929619435520.0000, content_loss=6885725000.0000, style loss=562922700000000.0000, tv loss=48383040.0000
L-BFGS | iteration: 167, total loss=557916989947904.0000, content_loss=6874614062.5000, style loss=557910075000000.0000, tv loss=48400484.0000
L-BFGS | iteration: 168, total loss=551563089149952.0000, content_loss=6878675781.2500, style loss=551556187500000.0000, tv loss=48412928.0000
L-BFGS | iteration: 169, total loss=547836433268736.0000, content_loss=6882317187.5000, style loss=547829512500000.0000, tv loss=48530172.0000
L-BFGS | iteration: 170, total loss=542499701522432.0000, content_loss=6889039062.5000, style loss=542492775000000.0000, tv loss=48505880.0000
L-BFGS | iteration: 171, total loss=537543678361600.0000, content_loss=6892286718.7500, style loss=537536775000000.0000, tv loss=48522152.0000
L-BFGS | iteration: 172, total loss=529417499574272.0000, content_loss=6902642968.7500, style loss=529410562500000.0000, tv loss=48655164.0000
L-BFGS | iteration: 173, total loss=523064806735872.0000, content_loss=6911322656.2500, style loss=523057875000000.0000, tv loss=48617240.0000
L-BFGS | iteration: 174, total loss=520002931261440.0000, content_loss=6915046875.0000, style loss=519996000000000.0000, tv loss=48638432.0000
L-BFGS | iteration: 175, total loss=516847438921728.0000, content_loss=6914235156.2500, style loss=516840487500000.0000, tv loss=48716456.0000
L-BFGS | iteration: 176, total loss=512574516887552.0000, content_loss=6914909375.0000, style loss=512567587500000.0000, tv loss=48687484.0000
L-BFGS | iteration: 177, total loss=509700244242432.0000, content_loss=6913038281.2500, style loss=509693287500000.0000, tv loss=48704224.0000
L-BFGS | iteration: 178, total loss=503051399987200.0000, content_loss=6909084375.0000, style loss=503044462500000.0000, tv loss=48778660.0000
L-BFGS | iteration: 179, total loss=494569745547264.0000, content_loss=6912639843.7500, style loss=494562787500000.0000, tv loss=48835236.0000
L-BFGS | iteration: 180, total loss=490683135688704.0000, content_loss=6912102343.7500, style loss=490676175000000.0000, tv loss=48898720.0000
L-BFGS | iteration: 181, total loss=483951143550976.0000, content_loss=6927537500.0000, style loss=483944212500000.0000, tv loss=48837356.0000
L-BFGS | iteration: 182, total loss=480398400290816.0000, content_loss=6921861718.7500, style loss=480391462500000.0000, tv loss=48897968.0000
L-BFGS | iteration: 183, total loss=477705623568384.0000, content_loss=6917079687.5000, style loss=477698662500000.0000, tv loss=48953400.0000
L-BFGS | iteration: 184, total loss=473864144420864.0000, content_loss=6914157812.5000, style loss=473857200000000.0000, tv loss=49007496.0000
L-BFGS | iteration: 185, total loss=467076619698176.0000, content_loss=6914014843.7500, style loss=467069662500000.0000, tv loss=49078152.0000
L-BFGS | iteration: 186, total loss=460540853878784.0000, content_loss=6921965625.0000, style loss=460533900000000.0000, tv loss=49118448.0000
L-BFGS | iteration: 187, total loss=458530876293120.0000, content_loss=6917553906.2500, style loss=458523937500000.0000, tv loss=49166288.0000
L-BFGS | iteration: 188, total loss=456854798860288.0000, content_loss=6920106250.0000, style loss=456847837500000.0000, tv loss=49147836.0000
L-BFGS | iteration: 189, total loss=453514522263552.0000, content_loss=6926202343.7500, style loss=453507562500000.0000, tv loss=49117072.0000
L-BFGS | iteration: 190, total loss=448862703583232.0000, content_loss=6935703906.2500, style loss=448855725000000.0000, tv loss=49155816.0000
L-BFGS | iteration: 191, total loss=441288830746624.0000, content_loss=6933512500.0000, style loss=441281850000000.0000, tv loss=49201392.0000
L-BFGS | iteration: 192, total loss=435943576174592.0000, content_loss=6953555468.7500, style loss=435936600000000.0000, tv loss=49250104.0000
L-BFGS | iteration: 193, total loss=435089112563712.0000, content_loss=6946691406.2500, style loss=435082125000000.0000, tv loss=49356560.0000
L-BFGS | iteration: 194, total loss=433393338679296.0000, content_loss=6949876562.5000, style loss=433386375000000.0000, tv loss=49312152.0000
L-BFGS | iteration: 195, total loss=431293401661440.0000, content_loss=6944046875.0000, style loss=431286412500000.0000, tv loss=49307512.0000
L-BFGS | iteration: 196, total loss=427451184316416.0000, content_loss=6942400781.2500, style loss=427444200000000.0000, tv loss=49322592.0000
L-BFGS | iteration: 197, total loss=421318407225344.0000, content_loss=6940389062.5000, style loss=421311412500000.0000, tv loss=49391048.0000
L-BFGS | iteration: 198, total loss=414553263308800.0000, content_loss=6954850000.0000, style loss=414546300000000.0000, tv loss=49404668.0000
L-BFGS | iteration: 199, total loss=410081061502976.0000, content_loss=6953344531.2500, style loss=410074087500000.0000, tv loss=49536568.0000
L-BFGS | iteration: 200, total loss=407560653897728.0000, content_loss=6960800000.0000, style loss=407553675000000.0000, tv loss=49580788.0000
